component,load_N,temperature_C,material_type,stress_Pa,strain,yield_point_Pa,safety_factor
cylinder,8198.346183,691.3698549,steel,48560895.26,0.000242804,69955766.94,1.440578197
flange,4232.368931,148.8225301,titanium,3289404.704,2.99E-05,713971837.4,217.0519902
bracket,3299.709027,320.8985606,titanium,467388.317,4.25E-06,498876799.2,1067.371137
gear,2613.762598,212.563329,steel,373746.3895,1.87E-06,194644966.4,520.7942387
bolt,1566.060607,798.2375783,steel,571318.9233,2.86E-06,42125630.64,73.73400201
shaft,4169.266432,29.25420521,aluminium,1185728.935,1.69E-05,137810747.8,116.224496
gear,6838.98397,327.9420583,titanium,1508692.591,1.37E-05,490072427.1,324.8325273
pulley,900.4479307,382.2613669,chromium,360556.5468,1.29E-06,272579544.4,755.9966579
pulley,6359.827723,70.68237686,abs_plastic,1176837.232,0.000588419,16439207.71,13.96897317
gear,3275.722643,165.4844381,steel,6503657.692,3.25E-05,206905094.2,31.81365072
bearing,6807.887182,36.25607235,chromium,1316877.026,4.72E-06,387914642.6,294.5716531
bolt,6487.210625,190.8791004,chromium,934718.3764,3.35E-06,336373633.2,359.8662888
coupling,8393.330048,209.1932328,aluminium,1137517.283,1.63E-05,62836153.01,55.23973477
shaft,2653.622114,204.7955329,aluminium,323987.8133,4.63E-06,64668527.96,199.6017298
valve_body,5343.540726,257.0152451,chromium,5229959.595,1.87E-05,314328251.6,60.10146846
bracket,9014.138766,70.64811658,abs_plastic,2607959.722,0.00130398,16450627.81,6.307853478
bolt,7286.961221,540.3239508,titanium,820404.5897,7.46E-06,224595061.5,273.7613421
flange,6456.113297,85.6291727,steel,3797436.113,1.90E-05,227700736.3,59.96170298
pulley,5848.797552,384.8371112,chromium,621728.2797,2.23E-06,271720962.9,437.0413439
valve_body,2910.81765,44.42910883,abs_plastic,593127.3514,0.000296564,25190297.06,42.47030085
bolt,2320.266164,76.97433771,abs_plastic,947524.6698,0.000473762,14341887.43,15.13616256
spring,3728.040967,749.2871126,chromium,515114.5127,1.85E-06,150237629.1,291.6587
gear,5137.259361,643.6059658,chromium,1991516.171,7.14E-06,185464678.1,93.1273774
cam,4918.747314,92.48790302,abs_plastic,1117769.026,0.000558885,9170698.994,8.204466917
spring,5811.348458,404.1638012,steel,2858641.6,1.43E-05,144749010.1,50.63559213
lever,5762.841572,465.7613283,titanium,10838982.85,9.85E-05,317798339.6,29.31994119
bracket,4752.450689,293.969135,chromium,537207.0196,1.93E-06,302010288.3,562.1860425
bracket,9535.411286,277.9852376,steel,1711193.955,8.56E-06,177608011,103.7918645
housing,9805.282679,63.70082848,titanium,3136284.909,2.85E-05,820373964.4,261.5750763
coupling,3237.527851,152.2043424,steel,576859.5948,2.88E-06,210363452.5,364.670111
housing,9307.166665,39.71651664,aluminium,4292388.885,6.13E-05,133451451.4,31.09025183
housing,2616.220126,102.6813648,aluminium,794418.3063,1.13E-05,107216098,134.9617666
flange,1452.551181,572.9505776,steel,260644.6463,1.30E-06,100794120.4,386.7108796
piston,8120.122607,262.7802492,aluminium,888310.9328,1.27E-05,40508229.5,45.60140825
piston,6316.154708,171.5336837,steel,7872411.823,3.94E-05,205329769.9,26.08219368
cam,8877.509775,47.06443644,chromium,1522529.828,5.46E-06,384311854.5,252.4166341
coupling,4709.42038,334.7338881,titanium,1603611.787,1.46E-05,481582639.8,300.3112373
piston,401.9524744,30.45749285,aluminium,48758.47658,6.97E-07,137309378,2816.112963
pulley,1357.899075,322.9010908,titanium,175826.7898,1.60E-06,496373636.5,2823.083087
bracket,6266.615711,103.6405157,chromium,10245443.56,3.67E-05,365453161.4,35.66982332
bearing,6410.556025,441.1329736,titanium,656756.3086,5.97E-06,348583783.1,530.7657931
bracket,3297.269082,242.6521345,aluminium,1185539.517,1.69E-05,48894943.94,41.2427787
bracket,876.7181753,27.09820816,aluminium,91038.23573,1.30E-06,138709079.9,1523.635413
coupling,6916.149018,65.3910045,steel,754987.3382,3.77E-06,232971092.6,308.5761585
housing,2473.894856,46.28452122,aluminium,1294979.763,1.85E-05,130714782.8,100.9396336
lever,6418.878879,61.33570059,abs_plastic,971762.011,0.000485881,19554766.47,20.12299951
spring,4254.040618,39.81847916,abs_plastic,1173810.317,0.000586905,26727173.61,22.76958486
spring,3484.6087,91.60327133,steel,3376054.426,1.69E-05,226144981.4,66.98499281
cam,1835.769672,36.8178798,chromium,239740.8754,8.59E-07,387727373.4,1617.276874
spring,1814.698512,445.1746163,chromium,448605.7342,1.61E-06,251608461.2,560.8676886
piston,8878.135834,40.87148987,abs_plastic,35298640.79,0.01764932,26376170.04,0.747229056
bolt,5060.294851,171.0256856,aluminium,736445.515,1.05E-05,78739297.69,106.9180219
flange,362.4619744,184.0171628,aluminium,38525.85147,5.50E-07,73326182.18,1903.298159
flange,3942.882269,650.4224541,chromium,850363.2313,3.05E-06,183192515.3,215.428547
bolt,9420.501607,243.9395299,titanium,979691.2116,8.91E-06,595075587.6,607.4113767
piston,2038.332234,60.22955451,titanium,1856908.193,1.69E-05,824713056.9,444.1323808
shaft,1034.985311,74.64054187,abs_plastic,1286067.29,0.000643034,15119819.38,11.75663163
flange,8464.265579,21.86175486,abs_plastic,1036876.005,0.000518438,32712748.38,31.54933496
valve_body,6959.614551,361.3698724,chromium,742531.8099,2.66E-06,279543375.9,376.4732664
flange,4237.665714,968.2289405,chromium,767009.197,2.75E-06,77257019.84,100.7250241
spring,5728.350809,469.2211687,steel,780077.1917,3.90E-06,127806987.3,163.8388978
bearing,2575.162847,182.5523235,aluminium,296525.5761,4.24E-06,73936531.89,249.3428488
spring,4347.040871,755.8536464,chromium,574247.7597,2.06E-06,148048784.5,257.8134299
valve_body,5389.841988,407.3177287,steel,1362027.706,6.81E-06,143927674.8,105.6716205
lever,1089.850383,51.02147211,titanium,113649.6659,1.03E-06,836223159.9,7357.902493
bolt,3613.561386,957.6648674,chromium,531404.3627,1.90E-06,80778377.53,152.0092479
bearing,4980.954012,68.30495849,titanium,4942054.813,4.49E-05,814618801.9,164.8340281
bracket,5581.660218,185.9277581,steel,589570.9341,2.95E-06,201581313,341.9118911
valve_body,9316.198146,97.93985668,abs_plastic,935387.6218,0.000467694,7353381.106,7.861319665
piston,7396.652012,63.67326161,abs_plastic,1043585.217,0.000521793,18775579.46,17.99141954
housing,6911.497101,840.2245968,chromium,796071.9829,2.85E-06,119925134.4,150.6460936
pulley,2303.506534,51.73212816,abs_plastic,257957.8321,0.000128979,22755957.28,88.21580295
shaft,5181.92907,38.65824579,abs_plastic,885054.9379,0.000442527,27113918.07,30.63529382
lever,8815.56369,204.6144511,steel,970218.0267,4.85E-06,196714986.7,202.7533825
lever,3567.160642,714.0175717,chromium,732701.7175,2.63E-06,161994142.8,221.0915287
bracket,2562.369129,211.5464668,titanium,582214.6048,5.29E-06,635566916.5,1091.636849
lever,4111.500659,65.71784202,abs_plastic,552945.0031,0.000276473,18094052.66,32.72306027
flange,8245.624484,79.53693256,abs_plastic,1205097.137,0.000602549,13487689.15,11.19220081
bracket,3811.218737,242.8554273,steel,438114.8618,2.19E-06,186756399.1,426.2726865
pulley,9635.90314,20.97235798,abs_plastic,993207.7304,0.000496604,33009214.01,33.23495478
lever,529.6677547,93.97146642,abs_plastic,57577.30348,2.88E-05,8676177.861,150.6874643
bearing,6984.570119,63.75203731,titanium,4001397.29,3.64E-05,820309953.4,205.0058752
gear,6312.824993,475.7651633,steel,699756.1349,3.50E-06,126102822.1,180.2096699
valve_body,2881.535577,571.2386608,titanium,323273.6349,2.94E-06,185951674,575.2144746
bracket,3423.034641,186.2863058,chromium,526313.1221,1.89E-06,337904564.7,642.0219268
flange,2371.007982,94.46261899,aluminium,646506.3403,9.24E-06,110640575.4,171.1361027
bearing,7011.800969,330.9358925,titanium,2215892.651,2.01E-05,486330134.4,219.473689
bearing,6878.838608,33.00935515,abs_plastic,754409.2426,0.000377205,28996881.62,38.43654078
lever,4224.726672,182.7255339,aluminium,459217.0147,6.56E-06,73864360.86,160.8484845
piston,5560.719938,66.15359312,aluminium,1333050.233,1.90E-05,122436002.9,91.84650352
pulley,4855.66381,788.5231195,steel,1267891.421,6.34E-06,44655437.63,35.22023802
piston,9702.152538,676.85276,steel,1155093.216,5.78E-06,73736260.4,63.83576613
shaft,4206.713073,233.2575161,steel,6392040.334,3.20E-05,189255855.2,29.60805084
pulley,8147.71999,999.7233198,chromium,817493.8705,2.93E-06,66758893.39,81.66286722
spring,7288.596356,80.56649616,abs_plastic,1897715.93,0.000948858,13144501.28,6.926485188
spring,1378.67821,764.1598013,steel,225971.0026,1.13E-06,51000051.75,225.6929039
cam,6749.836776,502.1400276,steel,1851395.189,9.26E-06,119234367.8,64.40244014
flange,5031.835348,153.3389951,aluminium,604019.9729,8.63E-06,86108752.04,142.5594449
shaft,8182.218779,968.6142901,chromium,8389941.899,3.01E-05,77128569.96,9.192980224
cylinder,5940.563382,394.4358543,steel,1393417.662,6.97E-06,147282329.6,105.6986241
spring,6429.677434,84.4035734,abs_plastic,711153.4584,0.000355577,11865475.53,16.68483137
bracket,3570.816832,185.1769523,aluminium,896465.768,1.28E-05,72842936.53,81.25568107
cylinder,9051.171075,221.9881709,titanium,1744469.144,1.59E-05,622514786.4,356.8505574
flange,3049.79857,533.1302305,chromium,435271.7204,1.56E-06,222289923.2,510.6923165
lever,4647.533399,845.2495867,chromium,602614.2724,2.16E-06,118250137.8,196.2285714
bearing,9802.322495,59.40944752,abs_plastic,2922018.381,0.001461009,20196850.83,6.911952011
cylinder,2477.441626,64.0007303,titanium,1800585.054,1.64E-05,819999087.1,455.4070274
coupling,1474.389009,391.707352,titanium,775744.003,7.05E-06,410365810,528.9964324
flange,8978.205258,389.6900794,steel,1338268.593,6.69E-06,148518208.5,110.9778779
shaft,2003.661286,23.2694893,abs_plastic,1130442.739,0.000565221,32243503.57,28.52289856
bracket,1852.403794,44.83670945,aluminium,1431206.655,2.04E-05,131318037.7,91.7533728
valve_body,2142.703812,376.9844638,chromium,421474.2426,1.51E-06,274338512.1,650.9022008
lever,489.1901844,483.6580314,titanium,77449.90838,7.04E-07,295427460.8,3814.43267
housing,9216.636765,55.42521672,titanium,3244051.026,2.95E-05,830718479.1,256.0744182
gear,6013.053014,789.2804568,steel,1111008.528,5.56E-06,44458214.38,40.0160874
flange,7623.558548,168.7544111,aluminium,1053980.873,1.51E-05,79685662.04,75.60446689
piston,2599.125749,433.7427598,titanium,289998.5404,2.64E-06,357821550.2,1233.873625
cam,5367.923504,82.15976658,titanium,1185133.644,1.08E-05,797300291.8,672.751378
bolt,2500.457986,176.161074,titanium,651990.6574,5.93E-06,679798657.6,1042.650918
piston,8423.02886,89.5793764,steel,1559871.553,7.80E-06,226672037.4,145.314553
valve_body,3494.975956,389.6965543,steel,966655.9096,4.83E-06,148516522.3,153.6394914
valve_body,4847.862807,66.73595878,abs_plastic,655600.1001,0.0003278,17754680.41,27.08157062
housing,5688.139571,315.4426482,steel,1653181.174,8.27E-06,167853477,101.5336248
bearing,6114.796701,88.41888353,aluminium,1215024.692,1.74E-05,113158798.5,93.13292088
pulley,9343.549055,20.60274905,abs_plastic,4008739.623,0.00200437,33132416.98,8.2650459
pulley,8523.093427,106.129872,chromium,1055091.311,3.78E-06,364623376,345.5846638
flange,894.3140821,429.1188839,steel,214828.1104,1.07E-06,138250290.7,643.5391086
bearing,5802.384336,276.8707717,aluminium,38055892.48,0.000543656,34637178.47,0.910165975
pulley,4958.412915,583.8589554,steel,602734.5391,3.01E-06,97953397.04,162.5149891
shaft,5758.965626,182.3878743,titanium,746175.2423,6.78E-06,672015157.1,900.613045
pulley,3304.42444,139.1222028,aluminium,644722.6268,9.21E-06,92032415.49,142.747302
gear,1236.884565,618.4076416,chromium,418227.7676,1.50E-06,193864119.5,463.5371788
spring,9326.941988,205.9724715,titanium,1559834.672,1.42E-05,642534410.7,411.9246881
pulley,4597.252925,173.608873,aluminium,830679.5796,1.19E-05,77662969.57,93.4932933
shaft,6877.258324,27.0294489,abs_plastic,4664555.334,0.002332278,30990183.7,6.643759476
valve_body,1255.291035,389.0696368,steel,205771.6315,1.03E-06,148679782.1,722.5475203
bolt,8522.201854,601.8601299,steel,2056351.592,1.03E-05,93265591.16,45.35488559
spring,9389.570523,125.1151784,titanium,12382182.48,0.000112565,743606027,60.05452014
flange,8434.10489,156.9769291,chromium,1057813.877,3.79E-06,347674357,328.6725242
cam,1720.193834,180.980482,chromium,210697.3039,7.55E-07,339673172.7,1612.138202
cylinder,9087.874692,108.535043,aluminium,1534016.294,2.19E-05,104777065.4,68.30244621
shaft,6278.605287,333.0730159,titanium,1412963.463,1.28E-05,483658730.1,342.300946
gear,3618.088273,325.356046,steel,674338.4757,3.37E-06,165271863,245.087399
spring,5474.208175,270.286323,titanium,1612491.214,1.47E-05,562142096.2,348.617153
bolt,1478.793519,242.327053,aluminium,237034.7527,3.39E-06,49030394.59,206.8489706
bearing,7907.112391,107.9714302,titanium,2481792.874,2.26E-05,765035712.2,308.2592912
spring,7465.068296,39.44881215,titanium,1300102.414,1.18E-05,850688984.8,654.3245944
piston,8779.979804,47.3665399,abs_plastic,1066768.241,0.000533384,24211153.37,22.69579506
housing,4624.302171,611.8787146,chromium,911613.8391,3.27E-06,196040428.5,215.0476661
flange,4914.939072,52.71641417,abs_plastic,634871.2159,0.000317436,22427861.94,35.32663221
cylinder,6970.0896,334.7801771,titanium,2688236.995,2.44E-05,481524778.6,179.1228896
spring,1897.817396,910.2815501,chromium,323000.9283,1.16E-06,96572816.63,298.9861891
flange,9478.105062,62.93839287,aluminium,1605458.383,2.29E-05,123775669.6,77.09677867
cam,6153.396931,25.07085147,aluminium,704531.5,1.01E-05,139553811.9,198.0803014
bracket,5694.818518,702.7178074,chromium,616806.7257,2.21E-06,165760730.9,268.7401482
flange,7735.342018,124.8419035,aluminium,9887654.649,0.000141252,97982540.2,9.909583585
bolt,1132.044964,87.23517056,abs_plastic,124185.0181,6.21E-05,10921609.81,87.94627548
gear,9849.92787,87.11184692,abs_plastic,7382865.514,0.003691433,10962717.69,1.484886549
valve_body,8711.973984,424.6936846,steel,1463305.353,7.32E-06,139402686.3,95.26561634
spring,7468.071553,180.3522505,steel,945430.8391,4.73E-06,203033268.1,214.7521106
piston,1231.246271,343.3135757,steel,142359.8716,7.12E-07,160595423,1128.094744
pulley,4710.431211,154.6343539,aluminium,512409.8796,7.32E-06,85569019.22,166.9933048
cylinder,4579.15121,101.6970718,titanium,2480269.694,2.25E-05,772878660.2,311.6107342
coupling,4247.36195,916.548983,chromium,1151764.625,4.13E-06,94483672.32,82.03383767
housing,6359.41645,27.59478482,titanium,953575.8577,8.67E-06,865506519,907.64307
coupling,9614.596143,135.9569276,steel,2286587.843,1.14E-05,214594550.1,93.84924824
bracket,1926.182427,43.96767294,abs_plastic,607940.0578,0.00030397,25344109.02,41.68849987
cam,2178.065372,540.8714879,titanium,1022142.437,9.29E-06,223910640.2,219.0601153
lever,461.8417117,388.2122172,steel,81139.77813,4.06E-07,148903068.4,1835.142662
shaft,7777.723405,373.5652911,steel,1469862.385,7.35E-06,152717372.1,103.8990954
bracket,4067.554303,456.5194584,steel,2484945.868,1.24E-05,131114724.4,52.76361391
gear,847.4833017,80.25969766,abs_plastic,303128.5605,0.000151564,13246767.45,43.70016281
bolt,4146.468294,27.10817958,aluminium,2519254.695,3.60E-05,138704925.2,55.05792068
shaft,4139.046504,64.13780762,abs_plastic,1583719.762,0.00079186,18620730.79,11.757592
coupling,5104.528003,365.1284082,titanium,1475815.21,1.34E-05,443589489.7,300.5725153
spring,8885.858777,342.8985192,titanium,1227998.591,1.12E-05,471376851,383.8578111
bolt,9630.228254,567.7576408,titanium,6434263.354,5.85E-05,190302949,29.57649361
cam,228.7190428,43.94238864,aluminium,105982.9508,1.51E-06,131690671.4,1242.56468
bolt,8776.796351,71.43404509,abs_plastic,1241577.803,0.000620789,16188651.64,13.0387734
gear,3483.991782,40.75387467,abs_plastic,902833.0015,0.000451417,26415375.11,29.25831805
coupling,8323.479615,358.288302,chromium,1072480.428,3.84E-06,280570566,261.6090313
valve_body,8624.573398,81.46294702,aluminium,884751.4914,1.26E-05,116057105.4,131.1748062
bracket,8697.832961,400.1963346,steel,971166.5753,4.86E-06,145782204.5,150.1104015
gear,322.4461524,95.22966063,aluminium,59032.51589,8.43E-07,110320974.7,1868.817093
lever,2653.088086,128.6977378,steel,317134.6581,1.59E-06,216484964.1,682.6278952
bearing,5304.332805,68.07020004,aluminium,1897221.586,2.71E-05,121637416.7,64.11344754
cylinder,5343.650619,248.21524,aluminium,1062124.039,1.52E-05,46576983.35,43.85267787
shaft,4111.956071,408.0226173,steel,568734.8424,2.84E-06,143744110.1,252.7436327
spring,1486.183533,93.83146474,aluminium,542732.7278,7.75E-06,110903556.4,204.3428573
cylinder,6045.116918,206.2102689,aluminium,3292232.358,4.70E-05,64079054.64,19.46370962
lever,4245.828196,318.848052,steel,810692.5568,4.05E-06,166966653.1,205.9555768
shaft,9590.409055,200.6835023,chromium,9645039.429,3.46E-05,333105499.2,34.53645801
bolt,775.672083,254.3821174,aluminium,175165.8736,2.50E-06,44007451.08,251.2330181
bearing,7243.175325,496.1156403,steel,762589.0323,3.81E-06,120803218.7,158.411954
coupling,4889.173925,41.59289779,abs_plastic,898011.6912,0.000449006,26135700.74,29.1039649
bolt,8431.143637,510.9165526,titanium,882210.4463,8.02E-06,261354309.2,296.249393
cylinder,6270.992254,152.7864464,aluminium,1786913.471,2.55E-05,86338980.65,48.31738193
flange,4186.656151,569.8419288,steel,695107.7409,3.48E-06,101603664.4,146.1696632
valve_body,8209.112945,483.6612098,titanium,1176512.899,1.07E-05,295423487.7,251.1009339
cam,1120.628086,108.0870359,aluminium,138459.2387,1.98E-06,104963735,758.0840112
gear,7921.134232,75.2448186,abs_plastic,1505668.128,0.000752834,14918393.8,9.908155407
bracket,7349.026375,487.8054658,titanium,1109797.033,1.01E-05,290243167.8,261.5281527
pulley,9043.301745,524.3986369,steel,1298870.621,6.49E-06,113437855,87.33576164
valve_body,6732.182899,23.53323502,abs_plastic,1136461.423,0.000568231,32155588.33,28.29448293
gear,5722.657782,276.3367233,aluminium,13123399.76,0.000187477,34859698.61,2.656300902
spring,2006.730375,109.9199766,steel,469361.1712,2.35E-06,221375006.1,471.6517251
lever,7476.139026,35.3671321,aluminium,1623157.805,2.32E-05,135263695,83.33366881
cylinder,6481.011841,202.0468581,aluminium,1746666.757,2.50E-05,65813809.11,37.67965975
bracket,4862.51265,887.2983894,chromium,908944.612,3.26E-06,104233870.2,114.6757116
piston,5767.034818,807.8974398,chromium,1062034.848,3.81E-06,130700853.4,123.0664452
pulley,7404.772092,425.7311257,steel,1711892.535,8.56E-06,139132519.3,81.27409664
bracket,341.5677374,263.6276847,aluminium,1099819.212,1.57E-05,40155131.38,36.51066551
coupling,5336.477627,95.12541588,abs_plastic,666397.1352,0.000333199,8291528.04,12.44232246
coupling,621.5699762,106.7725424,chromium,1316305.323,4.72E-06,364409152.5,276.842421
bracket,5849.496352,231.9158374,steel,1446804.625,7.23E-06,189605250.7,131.0510399
cam,3430.067592,427.5649695,steel,466708.1901,2.33E-06,138654955.9,297.0913277
gear,4726.376589,192.2616683,titanium,553249.6755,5.03E-06,659672914.6,1192.360238
shaft,516.7225774,21.42991478,abs_plastic,52308.05346,2.62E-05,32856695.07,628.1383631
valve_body,3977.138391,117.0612947,steel,415648.4285,2.08E-06,219515287.8,528.1273134
spring,2663.928251,67.08433832,abs_plastic,271135.7458,0.000135568,17638553.89,65.05432858
housing,9046.867275,593.7272477,titanium,1212848.004,1.10E-05,157840940.4,130.140743
bearing,4075.644341,505.9389265,titanium,1710561.741,1.56E-05,267576341.9,156.4260064
bolt,1291.353744,23.75562857,abs_plastic,330904.4764,0.000165452,32081457.14,96.95081038
valve_body,9576.975604,664.4404427,steel,1193003.122,5.97E-06,76968634.71,64.51670856
pulley,5230.77763,485.8737765,steel,987346.8084,4.94E-06,123470370.7,125.0526863
cylinder,5200.954451,157.5321754,aluminium,521989.003,7.46E-06,84361593.57,161.615653
bolt,2321.961661,149.8142166,titanium,428718.9075,3.90E-06,712732229.3,1662.469783
valve_body,5842.853458,109.6571006,chromium,664953.3245,2.38E-06,363447633.1,546.5761577
bolt,1382.197721,535.4738863,titanium,144566.9881,1.31E-06,230657642.1,1595.507004
bracket,8114.20914,203.4677546,aluminium,1461101.417,2.09E-05,65221768.93,44.6387692
cylinder,4143.686809,124.3527848,aluminium,1551034.974,2.22E-05,98186339.68,63.30375609
spring,5372.764942,289.3941523,aluminium,4538798.351,6.48E-05,29419103.2,6.481694255
bracket,9915.605818,24.9213621,abs_plastic,1121576.91,0.000560788,31692879.3,28.25742845
cam,9074.485823,65.70551535,abs_plastic,1363577.768,0.000681789,18098161.55,13.27255546
flange,8658.479515,445.667753,titanium,1645949.477,1.50E-05,342915308.8,208.3389032
flange,8520.759118,869.9483169,chromium,1197948.338,4.29E-06,110017227.7,91.83804022
cylinder,7004.967471,74.41126174,abs_plastic,1125431.095,0.000562716,15196246.09,13.50260016
pulley,1670.190542,883.253344,chromium,191288.8035,6.86E-07,105582218.7,551.9519006
bolt,1375.811688,113.8332792,aluminium,184407.0711,2.63E-06,102569467,556.2122232
housing,8197.873539,252.9975698,aluminium,1599918.936,2.29E-05,44584345.9,27.86662805
coupling,2941.677518,192.7395371,aluminium,299750.8157,4.28E-06,69691859.52,232.4993156
gear,6376.656461,171.1959063,aluminium,815380.27,1.16E-05,78668372.37,96.48059349
pulley,7634.176235,333.9346156,titanium,792451.3911,7.20E-06,482581730.5,608.9732896
housing,6362.956742,933.3875434,chromium,5707474.386,2.05E-05,88870818.87,15.57095361
bearing,6910.068651,86.48031792,chromium,2243864.406,8.04E-06,371173227.4,165.4169594
gear,766.7709545,590.527051,chromium,217570.4441,7.80E-07,203157649.7,933.7557337
piston,8538.905126,594.2860562,titanium,1257030.623,1.14E-05,157142429.8,125.0108206
bracket,6510.97907,602.507942,chromium,1670440.655,5.99E-06,199164019.3,119.2284316
lever,8232.978179,235.663447,titanium,1003290.322,9.12E-06,605420691.3,603.4351952
cylinder,110.1918505,64.50271932,aluminium,23254.38747,3.32E-07,123123867,5294.651046
bearing,1111.716835,686.2836241,steel,209066.0602,1.05E-06,71280306.23,340.9463314
lever,3053.906867,87.19577317,abs_plastic,394004.4293,0.000197002,10934742.28,27.75284099
bearing,2805.269317,571.5008661,titanium,1758267.981,1.60E-05,185623917.4,105.5720285
bracket,9441.79761,53.57818535,abs_plastic,1470362.77,0.000735181,22140604.88,15.05791995
pulley,2814.730503,590.7070358,titanium,677855.2131,6.16E-06,161616205.2,238.4228993
bracket,2209.73657,28.71754321,aluminium,337287.0396,4.82E-06,138034357,409.2489209
bracket,8657.146673,152.4987739,aluminium,893861.0156,1.28E-05,86458844.22,96.72515381
cam,8699.369363,625.7455452,steel,1125094.064,5.63E-06,87045430.94,77.3672475
cam,7634.13751,195.3416901,aluminium,5455588.508,7.79E-05,68607629.14,12.57566054
spring,9678.36151,201.7496972,chromium,2070342.633,7.42E-06,332750100.9,160.7222377
cam,6112.333838,213.0811654,steel,1086002.813,5.43E-06,194510113.2,179.1064544
valve_body,735.668477,590.3319739,chromium,266253.7955,9.54E-07,203222675.4,763.2667733
flange,9845.078933,106.7567727,titanium,2094908.872,1.90E-05,766554034.1,365.9128301
cam,4851.394464,188.0057535,aluminium,1623919.727,2.32E-05,71664269.39,44.13042602
lever,8615.211732,628.2837713,steel,17502539.97,8.75E-05,86384434.55,4.935537053
pulley,1138.808766,160.3861092,titanium,115404.6838,1.05E-06,699517363.5,6061.429573
housing,7054.403208,568.4557098,chromium,35858045.98,0.000128523,210514763.4,5.870781791
bracket,5225.34527,88.53586933,steel,1463187.608,7.32E-06,226943784,155.1023142
gear,877.9271218,51.7538621,abs_plastic,620932.0579,0.000310466,22748712.63,36.6363958
coupling,6925.703194,244.1642758,aluminium,3327285.639,4.75E-05,48264885.1,14.50578349
coupling,1135.221619,643.7016446,chromium,160023.1274,5.74E-07,185432785.1,1158.787409
pulley,9368.501238,60.53760125,steel,1716209.308,8.58E-06,234234999.7,136.4839351
shaft,8722.594325,719.8051935,chromium,1085290.169,3.89E-06,160064935.5,147.485843
cam,4895.544631,403.2756686,titanium,878169.588,7.98E-06,395905414.2,450.8302492
pulley,7859.942279,154.6530728,aluminium,15611675.34,0.000223024,85561219.66,5.480591787
bracket,4442.211443,222.9514368,aluminium,743658.1932,1.06E-05,57103568.01,76.78738503
bracket,4844.861393,69.25936176,abs_plastic,1443094.416,0.000721547,16913546.08,11.72033229
cam,7468.362749,874.3961234,chromium,1699987.134,6.09E-06,108534625.5,63.84438055
bolt,5598.099154,724.8177427,chromium,2370366.498,8.50E-06,158394085.8,66.8226141
flange,4983.440783,83.59066185,steel,1217764.102,6.09E-06,228231598.5,187.4185633
lever,4242.157908,36.28626243,abs_plastic,503790.5798,0.000251895,27904579.19,55.38924369
gear,7298.973791,79.4165217,abs_plastic,1692561.185,0.000846281,13527826.1,7.992518216
bearing,3773.283754,987.8965725,chromium,7590883.159,2.72E-05,70701142.51,9.313954784
